"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered","dataset"
"1",4,1,1,0,2146.65000004768,347.658668067587,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"2",5,1,0.8,0.421637021355784,2530.24999999851,556.631504379071,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"3",6,1,0.7,0.483045891539648,3372.02000000179,376.291101261035,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"4",8,1,0.8,0.421637021355784,3080.10000001391,594.309435398563,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"5",10,1,0.8,0.421637021355784,2894.28999999762,270.264880148324,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"6",12,1,0,0,NA,NA,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"7",14,1,0.6,0.516397779494322,2932.63999999948,431.361053204847,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"8",17,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"9",22,1,0.7,0.483045891539648,3269.93750000372,349.22843911032,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"10",24,1,1,0,2584.21000000238,290.247015298598,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"11",25,1,0.7,0.483045891539648,2157.68000000268,500.435842928358,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"12",26,1,0.8,0.421637021355784,3151.88750000019,206.902616413143,1,FALSE,"digit_span",17,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"13",27,1,0.8,0.421637021355784,2889.47000001073,483.784031360885,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"14",28,1,0.9,0.316227766016838,3231.4555555582,370.090465667137,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"15",29,1,1,0,3291.3,273.80652130859,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"16",30,1,0.9,0.316227766016838,2866.75999999996,426.438376947148,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"17",31,1,0,0,NA,NA,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"18",32,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"19",33,1,0.8,0.421637021355784,2914.63333331214,484.779764405028,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"20",34,1,0.9,0.316227766016838,3396.1599999994,438.015573545875,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"21",36,1,1,0,2686.7400000006,322.527129608491,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"22",38,1,0.6,0.516397779494322,3642.19999999801,564.377529661588,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"23",39,1,1,0,2674.73000000119,227.947182225092,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"24",40,1,0.9,0.316227766016838,3061.6,514.633245892429,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"25",41,1,1,0,2652.8400000006,408.612177444312,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"26",42,1,0.9,0.316227766016838,3425.87777781486,380.714130891624,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"27",43,1,1,0,2326.37999999672,458.167043287404,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"28",44,1,0.8,0.421637021355784,2799.46,467.551005417245,1,FALSE,"digit_span",9,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"29",45,1,0.9,0.316227766016838,2837.68999999985,380.041390873262,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"30",49,1,0.6,0.516397779494322,3396.30999999642,164.357154785642,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"31",50,1,0.5,0.52704627669473,3697.83333333333,290.838385820487,1,TRUE,"spatial_recall",9,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"32",51,1,0.6,0.516397779494322,3641.43333332737,313.204052772231,1,FALSE,"digit_span",7,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"33",52,1,0.9,0.316227766016838,2204.31999999732,692.816808879472,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"34",54,1,1,0,2524.03999999994,290.020888902808,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"35",55,1,0.2,0.421637021355784,3024.6666667064,704.811488724637,1,TRUE,"spatial_recall",16,"epoch_same_same","stay_within_block","stay",1,-0.542500000000003,1
"36",57,1,0,0,NA,NA,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"37",60,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"38",61,1,0.5,0.52704627669473,2479.31000000238,662.275713731608,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"39",62,1,0.7,0.483045891539648,3379.81428571258,425.710317898005,1,FALSE,"digit_span",18,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"40",63,1,0.7,0.483045891539648,3266.70000000298,403.510060453288,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"41",65,1,0.9,0.316227766016838,2784.5400000006,470.90178546205,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"42",66,1,0.6,0.516397779494322,3548.90000000596,380.045523585874,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"43",67,1,0.9,0.316227766016838,2726.64444444453,459.211163602734,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"44",68,1,0.7,0.483045891539648,3050.60000000894,307.858877679774,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.0425000000000033,1
"45",69,1,0.8,0.421637021355784,3374,398.386495755562,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"46",70,1,1,0,2823.4,412.384179026198,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"47",71,1,1,0,1746.09000000134,250.279139496249,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"48",72,1,0.1,0.316227766016838,3410.5,NA,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,-0.642500000000003,1
"49",501,1,1,0,2696.3599999994,341.318799166767,1,FALSE,"digit_span",6,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"50",502,1,1,0,2713,541.712164242266,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"51",503,1,0.5,0.52704627669473,3833.46666669845,187.161381332943,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"52",505,1,1,0,3225.26000000089,353.188212965191,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"53",508,1,1,0,2514.33999999911,207.365250491153,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"54",509,1,1,0,2029.55999999996,592.124874592419,1,FALSE,"digit_span",19,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"55",510,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"56",511,1,0.6,0.516397779494322,3543.3125,240.983837454568,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"57",513,1,0,0,NA,NA,1,TRUE,"spatial_recall",19,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"58",514,1,0.9,0.316227766016838,3122.13333331214,330.603879285984,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"59",515,1,1,0,2289.1,333.295814555179,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"60",516,1,0.9,0.316227766016838,3047.78999999985,257.097562328686,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"61",517,1,0.5,0.52704627669473,3042.16999999881,445.408202414038,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",1,-0.242500000000003,1
"62",518,1,0.8,0.421637021355784,3846.33749999944,206.696968927068,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"63",519,1,1,0,2790.61999999881,207.619586952806,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"64",525,1,0.3,0.483045891539648,3338.2250000001,446.012769675394,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.442500000000003,1
"65",526,1,0.9,0.316227766016838,3350.88888888889,566.864279268954,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"66",528,1,0.4,0.516397779494322,3429.92857143283,313.620214667149,1,TRUE,"spatial_recall",9,"epoch_same_same","stay_within_block","stay",1,-0.342500000000003,1
"67",529,1,0.8,0.421637021355784,2685.0100000143,451.466621000145,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"68",532,1,0,0,4056.39999999851,38.3251875424179,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.742500000000003,1
"69",534,1,0.4,0.516397779494322,3817.26666666567,280.832424525359,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.342500000000003,1
"70",536,1,0.9,0.316227766016838,2588.81000000052,293.120659456548,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.157499999999997,1
"71",538,1,0.8,0.421637021355784,2264.38888888889,972.65394469801,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",1,0.0574999999999968,1
"72",540,1,0.6,0.516397779494322,3340.85000000149,538.440120159459,1,FALSE,"digit_span",19,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"73",543,1,1,0,2033.32000000477,267.612941061842,1,FALSE,"digit_span",18,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"74",545,1,0.1,0.316227766016838,3343,452.015840419977,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.642500000000003,1
"75",550,1,0.6,0.516397779494322,3480.41666666604,374.967883513384,1,FALSE,"digit_span",17,"epoch_same_same","stay_within_block","stay",1,-0.142500000000003,1
"76",552,1,1,0,2738.27000002861,340.801535751865,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"77",553,1,1,0,2540.3,441.765410345556,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
"78",554,1,1,0,3030.57000002861,267.96698410149,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.257499999999997,1
