"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered"
"1",11,1,0.9,0.316227766016838,2655.4,612.134553109944,1,FALSE,"digit_span",12,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"2",14,1,0.9,0.316227766016838,2199.27000001669,324.67075648386,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"3",15,1,0.9,0.316227766016838,2293.51000000052,546.067538455413,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"4",16,1,0.9,0.316227766016838,2812.55555555556,618.335085352415,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"5",17,1,0.8,0.421637021355784,2691.55555555556,201.023077724369,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"6",18,1,0.8,0.421637021355784,2697.98888889949,240.547892489475,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"7",19,1,0.7,0.483045891539648,2802.4,400.118093678465,1,FALSE,"digit_span",15,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"8",20,1,0.9,0.316227766016838,3641.75555555688,362.359707717937,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"9",21,1,0.8,0.421637021355784,2669.66666666667,731.870890253192,1,FALSE,"digit_span",16,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"10",22,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"11",24,1,0.2,0.421637021355784,3316.96666665872,317.00569498474,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.326569579288028
"12",28,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"13",30,1,0.8,0.421637021355784,2323.59000000134,496.353425716766,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"14",31,1,0.6,0.516397779494322,2546.48999999985,353.188858669629,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",1,0.0734304207119723
"15",32,1,1,0,3040.1,367.129541170416,1,FALSE,"digit_span",9,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"16",33,1,0.8,0.421637021355784,2847.88888888889,688.714462684726,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"17",34,1,0.5,0.52704627669473,3550.6,271.575588004519,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.0265695792880277
"18",35,1,0.1,0.316227766016838,4017.89999999851,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.426569579288028
"19",36,1,0,0,NA,NA,1,TRUE,"spatial_recall",17,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
